Language Name,Language Family,Endangerment Status,Year,Age group,Speaker by age,Lt,Ln
Gitksan,Tsimshian languages,6b (Threatened),2011-01-01,>65,315,55.262995491,-127.626300131
Nisga'a,Tsimshian languages,7 (Shifting),2011-01-01,>65,215,55.076431797,-129.450297415
Tsimshian,Tsimshian languages,8a (Moribund),2011-01-01,>65,225,54.523654629,-128.551250580
Kwakiutl (Kwak'wala),Wakashan languages,8a (Moribund),2011-01-01,>65,175,50.916887,-127.298863
Inuktitut,Inuit languages,2 (Provincial),2011-01-01,>65,1340,63.747255389,-68.515035761
Atikamekw,Algonquian languages,5 (Developing),2016-01-01,0-14,2275,47.960502,-74.277655
Siksika (Blackfoot),Algonquian languages,7 (Shifting),2016-01-01,0-14,755,50.788575,-112.972441
Cree languages,Algonquian languages,6b (Threatened),2016-01-01,0-14,21135,57.844751,-101.855991
Mi'kmaq,Algonquian languages,6b (Threatened),2016-01-01,0-14,1865,45.828799,-64.326284
Innu/Montagnais,Algonquian languages,6b (Threatened),2016-01-01,0-14,3205,48.676454,-70.377626
Ojibway,Algonquian languages,6b (Threatened),2016-01-01,0-14,4200,45.429299,-79.918541
Oji-Cree,Algonquian languages,8a (Moribund),2016-01-01,0-14,4260,50.34546,-87.927117
Dakelh (Carrier),Athabaskan languages,7 (Shifting),2016-01-01,0-14,225,54.02068,-123.527897
Dene (Chipewyan),Athabaskan languages,6b (Threatened),2016-01-01,0-14,3165,59.95501,-110.154848
North Slavey (Hare),Athabaskan languages,6b (Threatened),2016-01-01,0-14,125,65.694476,-127.792353
South Slavey,Athabaskan languages,7 (Shifting),2016-01-01,0-14,145,61.773123,-121.264121
Kaska (Nahani),Athabaskan languages,7 (Shifting),2016-01-01,0-14,45,59.220934,-130.325248
Tahltan,Athabaskan languages,8a (Moribund),2016-01-01,0-14,50,57.774518,-131.87196
Haida,Haida,8b (Nearly extinct),2016-01-01,0-14,105,52.829321,-132.003884
Mohawk,Iroquoian languages,6b (Threatened),2016-01-01,0-14,575,45.090975,-74.676745
Shuswap (Secwepemctsin),Salish languages,8a (Moribund),2016-01-01,0-14,285,52.261434,-120.838256
Stoney,Siouan languages,7 (Shifting),2016-01-01,0-14,910,51.161330936,-114.852561647
Tlingit,Tlingit,8a (Moribund),2016-01-01,0-14,40,59.615890734,-133.629114002
Gitksan,Tsimshian languages,6b (Threatened),2016-01-01,0-14,125,55.262995491,-127.626300131
Nisga'a,Tsimshian languages,7 (Shifting),2016-01-01,0-14,170,55.076431797,-129.450297415
Tsimshian,Tsimshian languages,8a (Moribund),2016-01-01,0-14,40,54.523654629,-128.551250580
Kwakiutl (Kwak'wala),Wakashan languages,8a (Moribund),2016-01-01,0-14,45,50.916887,-127.298863
Inuktitut,Inuit languages,2 (Provincial),2016-01-01,0-14,13755,63.747255389,-68.515035761
Atikamekw,Algonquian languages,5 (Developing),2016-01-01,15-64,4145,47.960502,-74.277655
Siksika (Blackfoot),Algonquian languages,7 (Shifting),2016-01-01,15-64,4015,50.788575,-112.972441
